timestamp	reward	action	state
0	0.11332217725064994	[-0.7688407088428912, 0.44062099088912926, 0.08713600083636787, 0.4711782555732147, 0.39776785131565207, -0.3717640752815945, 0.7001166236781674, 0.7558898536239447, 0.8404750659306359, -0.9379151859567179, -0.49718436048782133, 0.3245135955649494, 0.19775713282208626, 0.8009830976561871, 0.38235875686691306, 0.23011330195049298, -0.21168344716425108]	[[0.11332217725064994], [0.9999644318940973], [0.006473314416587528], [0.004621332561533367], [-0.002806141930706682], [0.005984045054029887], [0.050364617770850224], [-0.006849123191134652], [0.08268646486670947], [0.0028712303818435644], [-0.08704245855012824], [-0.009270051226555833], [0.06770836510003514], [0.019487113965182518], [-0.1644833751953058], [-0.19873120563920726], [0.0061264415070954046], [0.02155240800370791], [0.023739716061590976], [0.02558451418212266], [-0.0032427007931802474], [0.0061854192802478555]]
1	0.12695082882906467	[-0.20355875855148828, 0.9182592152745913, 0.4565772473124529, -0.9348943110211279, 0.6054420791766317, -0.8128690025380416, -0.26804742558799327, -0.5022324305027921, -0.11653157345871801, -0.9275818108060163, 0.5233720204881944, -0.07105839235923193, 0.32132749999849636, -0.5294778425264033, 0.4751187552417145, -0.9277716429143269, -0.10672279486283665]	[[0.12695082882906467], [0.9991617208537372], [-0.0004937832812185819], [0.038409574920205], [-0.014153314562988729], [0.045112088914599], [0.09701520655881093], [0.03842662364209495], [0.035193569042877626], [0.0040391470599857385], [-0.29165073229470234], [-0.1392769126613872], [0.03347858502017745], [0.03042156781692515], [-0.37598946898651997], [-0.38532977878673214], [0.010460865346321773], [0.07759257379764671], [0.028267357201046457], [0.10924995481566246], [-0.0031370894598353872], [0.012551068723835584]]
2	0.1386823323285164	[0.14487897408920397, -0.06046368104129218, 0.8676874819784016, 0.7802816772467778, -0.6345094458222137, 0.2220395367022278, -0.8668311473621376, 0.23387886311094488, 0.3492666015950423, 0.2892294475529092, 0.3095634160407776, -0.061100338989766564, 0.6244391259205732, -0.008636588354749404, 0.20589182139588552, -0.5122560463258055, 0.11768539451060853]	[[0.1386823323285164], [0.9975340606230111], [-0.016646483866560622], [0.06298272353712037], [-0.026112621616637858], [0.11293622034931448], [0.04870848852284792], [0.08883033358085601], [0.06911755634966957], [-0.019939142237241796], [-0.3708260106562378], [-0.3398145485411236], [0.045641766352434124], [0.07575663893968318], [-0.3378942427546428], [-0.2878351467583758], [0.03530545795466927], [0.14856551033588056], [-0.02667396958157489], [0.2087426752818681], [-0.027777845729489832], [-0.02313713551125298]]
3	0.14363067408340446	[0.37508161403192175, 0.7187813700154003, 0.7249956789277178, 0.1299760545634867, -0.6679936673107904, 0.8518073754251254, -0.9779272019141588, 0.7593873479261283, -0.019551182554677374, 0.8566847942970385, 0.36998145807879157, -0.7234727268105304, 0.3766074479038936, 0.42670751652147376, -0.04011909187986589, 0.7451352288833533, 0.8537119573176054]	[[0.14363067408340446], [0.9962561642068525], [-0.028946085870259434], [0.07156261131846878], [-0.03891750318202069], [0.17922773287481683], [-0.07176591844976077], [0.1504950142525217], [0.09585023039835759], [-0.07522818367923956], [-0.3231748586132574], [-0.5691534063627898], [0.1339618039744985], [0.13165694277785095], [-0.05849777470309427], [0.07236292476900519], [0.04415568496872494], [0.22698630789821256], [-0.07872156512460833], [0.28853424404685385], [-0.041040126309770275], [-0.04942747012047151]]
4	0.1453716402306325	[0.07395560244364954, -0.2535378232460438, -0.2742443855897054, 0.22045893625825044, 0.29631254295418047, 0.8340651156612832, 0.37522229284583525, 0.20183557270111652, 0.6458197338183693, -0.9352110578733044, 0.907163864377924, -0.8701113699181857, 0.11655447747116698, -0.44359435741861725, -0.2080134888697855, -0.5561434025563236, 0.19628704909070643]	[[0.1453716402306325], [0.996799775240459], [-0.03616081887261812], [0.060941622409088216], [-0.03699624193320681], [0.15603751445694772], [-0.09531950928329468], [0.14205887582825102], [0.10211129246203438], [-0.06022477081832548], [-0.2571542689207192], [-0.6376087317843777], [0.12008063422250279], [0.11189097504628837], [0.05659222968304348], [0.20359317994130674], [0.01621564900639598], [0.24475973180026414], [-0.10131845748220264], [0.2936113101449699], [-0.06537738540070637], [-0.05812780845432551]]
5	0.14232685639049777	[0.18193743666755074, -0.24178154153435644, -0.3497269626600136, 0.9236835063923468, 0.8470510724583339, 0.7493634420793902, -0.10446960670146216, -0.026377095719240497, -1.0149409704905799, 0.2993716099747769, -0.5440973836564019, -0.24309071459059706, -0.37976608246054255, -0.17936080410229022, -0.8673896836926211, -0.5011199662243259, 0.5091376670672573]	[[0.14232685639049777], [0.9978097525574163], [-0.03921058852578804], [0.04830182541165428], [-0.022475789433767417], [0.06543192620868823], [-0.1324518227947925], [0.06002818189238293], [0.10673109162412031], [0.009557107932356534], [-0.11747734842509888], [-0.5696495462234487], [0.10464075438338846], [0.039585325621990276], [0.1123030577248728], [0.13304345460406808], [-0.06697875494444032], [0.24385522529731518], [-0.151367921249345], [0.2564133068734199], [-0.1399828556117645], [-0.07758218701576669]]
6	0.13844898203762848	[-0.418962859780075, 0.6180075561557608, 0.6135188575292619, -0.5509132645463387, -0.7983026071157258, -0.7141199263091322, -0.9207436807469969, 0.6841962625429554, -0.6187465462581387, -0.9769971077441563, -0.023690207133603904, -0.22388572049946065, -0.8532992691173564, -0.12683685709631998, -0.32048997985709465, 0.23157421253410418, 0.3175464737908006]	[[0.13844898203762848], [0.9981959504490747], [-0.04269243881696175], [0.035616004441784886], [-0.022664959795491685], [0.042550224434305235], [-0.09632566295670394], [0.02012143191875586], [0.02233516432737982], [0.05535134098477775], [-0.16168436126183422], [-0.6167824338159272], [0.10360412749993173], [0.003910631252867701], [0.02381707962288613], [-0.08286873819160714], [-0.14088769960029224], [0.24794901771103273], [-0.19991427272267873], [0.22369665799261235], [-0.1490783663272878], [-0.007508780733901949]]
7	0.13632467711841872	[0.43351264744200085, -0.5317356394413038, -0.26796560017664517, 0.7942864545606825, -0.5361764304483152, -0.0895484032912807, 0.13403537037796145, 0.18372113842591456, -0.4112805970422023, -0.8939133712913787, 0.4610509363551477, -0.05014438081385915, 0.85488989233154, -0.8612220213371395, 0.8316241210387574, 1.0198118387166255, -0.30098787034936464]	[[0.13632467711841872], [0.9980028265363544], [-0.05324290572082568], [0.023485554091019118], [-0.024576003842945733], [0.03580378613848904], [0.010013185049091405], [-0.0006043461824284113], [0.04634869676845215], [0.07201076147350537], [-0.3147894489660565], [-0.6887275636089563], [0.10473029351130926], [-0.01013833472420667], [-0.1311397622919508], [-0.22233254605542366], [-0.18309498301728144], [0.23697683561522315], [-0.24879787186694366], [0.2015840340115872], [-0.13808881288439262], [0.06863632063020915]]
8	0.1285456776971292	[-0.33428886427974275, -0.8334618229489795, 0.6719744209501266, 0.9167281432384103, 0.18391484133867372, 0.8836209182342746, -0.9852525003020759, 0.8454182400881625, -0.882554795997004, -0.017617458644780388, -0.41911896558642475, -0.6712182914886329, 1.0526796458372771, -0.18142251243283652, -0.9875843541442155, 0.2591306506895374, -0.5106896837884989]	[[0.1285456776971292], [0.9969305803542242], [-0.07136049990365609], [0.026602124840068242], [-0.018150040277739102], [-0.027846714748135562], [-0.017944777790285246], [-0.010962701817820162], [0.13364211167810822], [0.12417602124558612], [-0.3163326466528955], [-0.7279783088949418], [0.10703801275729596], [-0.07868854434256939], [-0.17774149575281264], [-0.3576382126215411], [-0.2605057037928732], [0.24605300305910832], [-0.33611190908999306], [0.2173205061257519], [-0.18689293994745051], [0.066572560600583]]
9	0.11938901668972508	[-0.37294645828437417, 0.7449564122441772, 0.6921264337782206, -0.4063210483114703, -0.3029356182633254, -0.5137736097147088, 1.0234057029357178, -0.8704565431630994, -0.6373696356823985, 0.051988473592238904, 0.3031521406858605, -0.6018336219900229, -0.13221742284146948, 0.7145204036771778, -0.8683503916427613, -0.8728224551018168, -0.519443501803476]	[[0.11938901668972508], [0.9961609736817335], [-0.0782022661836543], [0.03547155632305389], [-0.017014369492354582], [-0.06435069618126751], [-0.08404296191694366], [0.02479444698731756], [0.05592799569212556], [0.1407554933781993], [-0.3206650488874865], [-0.779770605342265], [0.07604120654177007], [-0.1261373108182651], [-0.15849791151846315], [-0.4402796681209848], [-0.3577077205473506], [0.28025314882839336], [-0.40052577625197194], [0.2522255475576919], [-0.23218127230288624], [0.025498211883545674]]
