timestamp	reward	action	state
0	0.10428574874116879	[-0.1679240415909239, -0.7932457196512618, 0.07674759547371587, 0.7002325208796569, 0.8209836345574102, 0.6449305983498378, -0.4521362761678988, -0.8353989257359152, -0.15609682229222177, -0.212867341882769, 0.09015992719613099, -0.7570585258935404, 0.4868113518193302, -0.5900144114081376, 0.42268680489780636, -0.9985973687935455, 0.2319916597863891]	[[0.10428574874116879], [0.9997384263875526], [-0.005748628957034735], [0.01752382048171622], [0.013525819198073882], [-0.04031148520964472], [-0.046062292377682015], [-0.003780663267263486], [0.0922042309447634], [0.014864472847266722], [0.014538884240197038], [-0.05467084532651107], [-0.09020634913142742], [-0.022693970592590762], [0.021646395656818196], [-0.005319366265149586], [-0.06968933683195952], [0.015624757862833233], [-0.020771021856113327], [0.024412016674090903], [-0.0558242031450103], [-0.010852284527635713]]
1	0.11031195072479733	[-0.7365385734613198, -0.15586092289788234, -0.14371088228971687, -0.10432228999476909, 0.08831533426663418, -0.17644434824805852, 0.0771976146808584, -0.4090566293825765, -0.7556184640647765, -0.6426281590134133, -0.8971917487224048, -0.9281411931665472, -0.0021663371508001085, 0.055666287273975705, 0.5541083462743095, -0.05839269895641441, -0.8967552665818719]	[[0.11031195072479733], [0.998654629583458], [-0.006045587483594388], [0.0435054548668316], [0.027561877300630883], [-0.10846841133188695], [-0.07371954724456664], [-0.032327115926224684], [0.1100773372891125], [0.06442159939943289], [-0.0362570343176167], [-0.15336319930418651], [-0.20859416790354438], [-0.07536439823443875], [-0.09957922253020596], [-0.2270596740410022], [-0.17596516973895623], [0.01866706424573002], [-0.035425822305418686], [0.0715101917112989], [-0.13491821998433443], [-0.03846357292487092]]
2	0.11596408041583998	[0.008507845950581072, -0.5778122872161655, 0.17043837309065055, -0.060469405089151405, 0.1477693875124779, 0.9314529972574036, 0.5553009526087802, 0.8572254203222501, -0.15930335065252776, -0.07451103376292889, 0.8752809961628109, 0.25834101117507774, -0.08624198701706373, -0.259205501039112, 0.589259576820749, 0.4468003856158313, -0.80713329935319]	[[0.11596408041583998], [0.9972578082319594], [-0.011155615234245936], [0.0620354384412565], [0.038781703760087174], [-0.18807763730875152], [-0.1240955761220193], [-0.02128291231511059], [0.09292019282805168], [0.13003294341465196], [0.04673807707083981], [0.0033863693854663326], [-0.15967308753399034], [-0.1389612058160662], [-0.14314175738131202], [-0.38447530345962977], [-0.24326680585142285], [0.018764107320511935], [-0.07529853236729706], [0.1363102028157862], [-0.19758138589314722], [-0.10215163260218499]]
3	0.119270488438889	[0.9548972643352822, -0.14737841722778258, 0.40771201923833417, -0.14306300534818137, 0.7558755755047056, -0.32523865315771594, -0.26376892020482245, -0.5588734824394065, 0.06514547001206812, 0.8940304955471349, 0.3265516715738222, -0.3971269989170344, 0.1995084093778676, 0.6023636439394495, 0.8553645678888929, -0.41146595343423514, 0.5832364606993885]	[[0.119270488438889], [0.9971209101238088], [-0.018532152131743737], [0.06271614155643411], [0.03838144759524482], [-0.22868963725541674], [-0.1226722495838741], [0.060744691614007404], [-0.0005006709105018492], [0.18025661302899545], [0.0549320020582379], [0.041874500109320666], [-0.1898558212971522], [-0.1811836985872459], [-0.0614500999505805], [-0.26112483877530634], [-0.25678695573868765], [0.037297007579947625], [-0.12362083125148836], [0.21301496057599653], [-0.20700494296502883], [-0.14549108089467402]]
4	0.1190406108936154	[-0.6997278992768278, -0.6255879721255403, -0.4585300204478987, -0.029503950322260445, -0.4997586668103096, 0.6120823754346748, 0.07716103546074021, 0.42982294182823194, 0.05288711227454321, -0.21895054526127575, -0.594964107690153, 1.0190194096684355, -0.7661454029648637, 0.029726034605127058, 0.5838839505635061, 0.6369438976377917, -0.3323960863717434]	[[0.1190406108936154], [0.9965823382022212], [-0.01711566627636446], [0.06866279041586222], [0.04261594025264938], [-0.2587189658457009], [-0.15049629471796352], [0.09369087581453528], [0.02975343917060231], [0.20168310685516705], [0.05590512157718881], [-0.02620346405194245], [-0.1498791501505444], [-0.1992061014742797], [-0.01123741445611385], [-0.2022836881711481], [-0.30315285669133213], [0.042942616944109085], [-0.12275915570593261], [0.2884154627300359], [-0.21986233170319558], [-0.1799190861183056]]
5	0.11729944952228584	[0.4980853069678798, 0.5013625559853951, 0.8836049752425056, 0.828675187253365, -0.7574069033098683, 0.10744980631478965, -0.8091981040138934, 0.6597763901604431, 0.45941899934971153, -0.792273611645801, 0.7806813115474975, -0.705679913231332, -0.43319020653140833, 0.27422140716964666, 0.9820469571969355, -0.21299383987748638, -0.27552482866283295]	[[0.11729944952228584], [0.9963422836140815], [-0.026237477957234395], [0.06758133489619277], [0.04523728337079434], [-0.21930009342233273], [-0.1396137085494662], [0.07943977462049115], [0.12312346220534555], [0.1476891581456652], [0.014565258677130051], [-0.11733596801575552], [-3.5615472564268225e-05], [-0.150848479092199], [-0.07214738667911968], [-0.23310733696079836], [-0.3056231750052565], [0.01718570525583865], [-0.09431820410690499], [0.383096088948782], [-0.22247862013082698], [-0.22496367299225997]]
6	0.11241735550984659	[0.8296814290826934, -0.4166300985275161, 0.03543493979284451, -0.17004802597931468, -0.4874450042371294, 0.03163936780886585, 0.29521923774222225, 0.50506655540708, -0.3942639538690042, 0.4156096097997125, -0.5885462917486162, 0.46249771335574374, -0.2790736544500984, 0.613571093001051, -0.24319565169301016, -0.08004370060702579, 0.34053042968892405]	[[0.11241735550984659], [0.9958856574361753], [-0.04997729267291339], [0.05490010383662331], [0.05196158320077222], [-0.20442970718973735], [-0.1349367686408834], [0.09183759492669816], [0.11710237186866057], [0.104058884445886], [0.0348261002702515], [-0.10700995074645667], [0.10371596788436051], [-0.11292559952296867], [-0.05360553973394219], [-0.23890798104017547], [-0.26746367081948125], [-0.04887393990025057], [-0.03837877116959187], [0.4763257271021113], [-0.24611334668432905], [-0.27891251456233945]]
7	0.10404357360168329	[-0.5477835899030543, -0.6754427725642586, 0.8671977058700621, -0.9231768543032393, -0.42415310864102534, 0.7061100159525139, -0.5154204312535962, 0.6407374528615888, -0.4710771509906726, -0.7551942928750626, 0.411942925490569, -0.27794744839400404, 0.8192116406630591, -0.1707473653404871, 0.32264144938908523, 0.7910668305388671, -0.6874812846362723]	[[0.10404357360168329], [0.9938789526825813], [-0.07787308573765878], [0.04467408853342321], [0.06437884548497845], [-0.2420395485711833], [-0.1670752828076699], [0.12788532700415647], [0.045006970309494104], [0.09678058901141247], [0.10514335257029728], [-0.08179042412089295], [0.1375507022444295], [-0.12450672053250808], [0.008079535557355749], [-0.2588391916964294], [-0.23635901863199657], [-0.11789411045183856], [0.009489651847622866], [0.5689961380748297], [-0.2891011076468403], [-0.3362821835796498]]
8	0.0951443298493061	[-0.5321038024134566, 0.11950845413630981, 0.7568632700530965, 0.6461967763761902, -0.9629791962651721, -0.933060574777944, -0.7006359037958184, 0.24962420201881455, -0.9100004911798768, 0.11531056695532077, -0.8695566469054327, 0.8628380577639476, 0.7359914816085243, -0.9540649316846584, 0.15096677218336638, 0.04538962889908815, 0.26941985232759436]	[[0.0951443298493061], [0.9913019076341215], [-0.10544176380208606], [0.04580229384383271], [0.06406802826605686], [-0.24440847041330027], [-0.18646303605438258], [0.1994732404913174], [0.07104997912415673], [0.0644229698010417], [0.03695763176723689], [-0.2964099440155548], [0.1401490287672266], [-0.11543351679506907], [0.006496499415416012], [-0.29415322196536553], [-0.204576098823099], [-0.12882616702293848], [0.008192662105332944], [0.6948828827834482], [-0.2872880977881933], [-0.34835784142079407]]
9	0.08669490700995879	[0.4170166301769514, -0.5584671770236489, 0.028794214560047514, 0.7338193540566272, -0.07532090764278881, -0.19005267751147129, -0.2092209859414922, 0.5811134859076174, -0.6630077377062694, 0.5420480381300545, -0.5533261469251662, -0.8207403623029285, -0.8452075735124531, -0.7850256154185103, -1.0281759353169746, -0.8223298334313296, -0.22764742974175758]	[[0.08669490700995879], [0.9908799361283226], [-0.11352071848544838], [0.03540254852654581], [0.06337711109465705], [-0.23753869420497586], [-0.1738603143495872], [0.2441732981780876], [0.12693601039394728], [0.03436869992221427], [-0.0695687275339016], [-0.5156310293843291], [0.13464946879900874], [-0.10898665550837601], [-0.014050791667140652], [-0.3694087023908311], [-0.1882557727931215], [-0.1320253602657743], [-0.022261166990233304], [0.7290433472837303], [-0.253655612567396], [-0.3548173615556428]]
