timestamp	reward	action	state
0	0.12219927795642774	[0.5110219694692153, -0.715584170203434, -0.27883075142125985, 0.780370694435926, -0.4972007098346126, -1.0192261012873813, -0.572106166655809, 0.4319284203489353, 0.6458411304703368, -0.4394721911390259, -0.5596841837287994, -0.5239727309782798, 0.16961992338749127, -0.3303262317433532, 0.31053317879397263, -0.32710246947729427, 0.05407633028587839]	[[0.12219927795642774], [0.9998384520973419], [-0.004573044890070842], [0.01695009756171247], [-0.003853720367806579], [0.00828940011158169], [0.08053182188532375], [-0.021297786224773702], [0.07700158057961806], [-0.007682625935908615], [-0.18170443670656322], [-0.18178484099220873], [0.06984914573053143], [0.0306746991275686], [-0.1981847997392978], [-0.187977122080881], [-0.02175655506955949], [-0.011364774026811797], [0.008972612819576637], [0.012985620275918496], [-0.010196433148962607], [0.018187754702785178]]
1	0.13163572530436363	[0.1524424676385365, 0.017024870567227332, -0.267476212785049, -0.5326361221706835, 0.8526137201605257, 0.9897326989484911, 0.31996378193127545, 0.7763472026877938, -0.5747464012708529, -0.511451465599126, 0.22672376385597007, -0.6561283772428607, 0.25040967732006614, 0.05107677364871385, -0.8133337438314799, 0.930615321946144, -0.7166554930320134]	[[0.13163572530436363], [0.9992922366884947], [0.00021407814873123667], [0.03703411537616527], [0.006591977165992207], [-0.04391462463313718], [0.10377225490299963], [-0.0694854091696455], [0.04845139831055525], [0.014889457928668973], [-0.268607418095348], [-0.25080052451437285], [0.1287339486486572], [0.027408656631283765], [-0.36778790131482897], [-0.4221454589313821], [-0.10213710098552164], [-0.00857424435244521], [-0.012924153576312106], [0.009730535216045784], [-0.05731469517705112], [-0.011100659097412752]]
2	0.13620759515543407	[0.16242728995057976, 0.2013069304761905, -0.41208954928135294, 0.22881681558335465, 0.7542475754732214, 0.3744159754325254, 0.034529322644634035, -0.032946152712805536, -0.08508059900174539, 0.1659423727305704, 0.052390494206766954, 0.6014850377088706, -0.3594476766548746, -0.49723783499908103, -0.9673554006348668, 0.34983405680996554, 0.8468937729135366]	[[0.13620759515543407], [0.9989361877741786], [0.009222115879667139], [0.043535930910438954], [0.012085861725780933], [-0.08365837488646652], [0.054844689467918144], [-0.13383910767149845], [0.08305466558461962], [0.04750201094735848], [-0.12069957818052954], [-0.05615743680430212], [0.12817488751249553], [-0.005617678778059297], [-0.36475807760888357], [-0.5087196313491393], [-0.1737083547356977], [0.011577366889306776], [-0.08748691323112212], [-0.01327519460581925], [-0.09639342261744244], [-0.05467974422895473]]
3	0.1421756835892312	[0.9001156038488256, -0.6461424540782944, 0.6374457964729835, -0.6706275192032173, -0.5514862032722752, -0.7335594321816349, 0.13780244060424884, 0.398912236132379, -0.5021878916537413, -0.6227990404528054, -0.9758691219976457, 0.4872236576528819, -0.5052985860791034, 0.003214719778191391, 0.3739260843303386, 0.7435933358865044, -0.9856960434219583]	[[0.1421756835892312], [0.9991394863672874], [0.012985309961048989], [0.03652276499549172], [0.014756562743825842], [-0.12894159975562103], [0.13547987918077387], [-0.14084316662656315], [0.0010885484883513957], [0.08007802805024486], [-0.14190367779527754], [0.06380972394556325], [0.1227230406731818], [-0.0335792025954332], [-0.4845297320154167], [-0.6073621475760477], [-0.17339986346011135], [-0.016497199280179585], [-0.12391507462846665], [-0.03377810566637281], [-0.0830287381239453], [-0.05277855178491996]]
4	0.1482037867228289	[-0.38547043355922805, 0.7039864350191896, 0.21111328370075458, -0.6605262131226117, -0.8691301931917121, -0.49755072338706346, 0.10851670246755736, -0.6369514745579835, -0.5478009181687659, 0.3139357187598022, -0.3034641067397075, 0.03704635604993337, -0.5925200678433212, -0.6737694651031301, 0.11086214797233339, 0.7026192864478736, 0.5282460644515996]	[[0.1482037867228289], [0.999047980339435], [0.014920096541744846], [0.04037264051878812], [0.0071115115426909105], [-0.1356249742701708], [0.19011674109973575], [-0.09744757360102403], [-0.15085185437466347], [0.0803184188521435], [-0.23561949102968152], [0.0634832063097846], [0.058510337654948515], [-0.08326966216212878], [-0.5990016896286788], [-0.7182376767067141], [-0.15089071069514898], [-0.015170260366682073], [-0.17636335582280913], [-0.006791238141282791], [-0.045931455304299554], [-0.029563628079279442]]
5	0.15204858489678263	[0.5381674038504444, 0.35089402318710977, 0.5892870898356598, -0.4235169695172086, -0.17745249875509572, -0.9102160522462076, 0.7596894178704775, 0.2412129986567727, -0.6624741276233572, 0.20208137419950045, 0.6243413276157908, -0.7896359970709778, 0.8244202609898568, -0.8977897071673626, 0.2992697269020628, -0.897311326925195, 0.5856753701239192]	[[0.15204858489678263], [0.9987239701455214], [0.020931342648017267], [0.04172035192521698], [-0.019280108582552472], [-0.06595928008692196], [0.2223822803178239], [-0.01593240106879182], [-0.30976855397319125], [0.04055938340093806], [-0.3074398077362414], [0.038387783192963446], [0.046585667815930286], [-0.10490988146626762], [-0.6210130737424526], [-0.723948811798194], [-0.11432938887686395], [0.05155741649607886], [-0.2964694421474146], [0.039814668088628546], [0.03334564153352095], [0.024843461861900826]]
6	0.15303296513957373	[0.2225832289282684, 0.6802099713932674, -0.7119188923258446, 0.10039389481875645, -0.5669396975244855, 0.35577151625795445, -0.4501014932321225, -0.38890997260171906, -0.7510634858642379, -0.21044372680425297, -0.044296011208058816, 0.3927373365083947, 0.21811264450033263, -0.1417136496369568, -0.8509346769395383, -0.8668647574678554, -0.08075766744876985]	[[0.15303296513957373], [0.997684300971695], [0.03720327326801139], [0.037566406269875834], [-0.042786880848370096], [0.017010075828198218], [0.2537607894319097], [0.008975689179114368], [-0.3263203472494711], [0.010082462623502337], [-0.3472108544786135], [-0.012481323926561433], [-0.045068333011798176], [-0.12305920196645945], [-0.6053963411702008], [-0.6560275795999376], [-0.09852050736781237], [0.1211832219781903], [-0.4198182375206997], [0.04691580524202826], [0.09184079441289932], [0.052868443497163485]]
7	0.15159216391629515	[-0.31022270324558543, -0.8239141008275165, -0.3020548840849543, -0.23939409828475813, -0.3996358273751863, 0.4749882364627044, 0.15490570622906022, 0.49947279550395585, -0.11796178438086977, -0.13877729239738967, 0.5702360627714148, 0.92516802843091, 0.5245028726543873, 0.8365565079072341, -0.775672540018642, 0.08091358539183546, 0.7359865832442063]	[[0.15159216391629515], [0.9957511036722805], [0.06787140284839462], [0.03126662015287857], [-0.05381087877968417], [0.06706512365709098], [0.23950373479255133], [-0.04053900476424891], [-0.3712467861813666], [-0.02352669393109904], [-0.29520335132366676], [-0.021263291181433365], [-0.06970430562218483], [-0.09850219298008481], [-0.5404551542436917], [-0.5519049759803732], [-0.11423124181110264], [0.174864129092791], [-0.49963601996589585], [-0.004468705723967117], [0.10919366657137727], [0.046815885938937776]]
8	0.14742767149818573	[-0.022714328542848064, 0.07664355927696731, -0.4627781573888442, -0.3113144252376733, 0.6324190730719218, 0.8795581600174514, 0.05752009596788348, 0.5263220412184497, -0.3900771454554475, 0.06495347361943714, 0.22628813032973888, -0.6549659585232287, 0.7262370780985897, -0.05186181949920654, 0.031001086484618225, -0.45407494060378834, 0.2244877071405962]	[[0.14742767149818573], [0.9929370899746173], [0.09848246155828802], [0.030274619581702862], [-0.05882675859965888], [0.08989868641802824], [0.1611560876806754], [-0.11043524310094517], [-0.4516275104443339], [-0.022300529691866394], [-0.19090249601619153], [0.0036328597204476846], [0.0017728416279583006], [-0.06652065850274759], [-0.39539000475175246], [-0.3568945545121786], [-0.17431207957229358], [0.24231373798712594], [-0.5698203364065108], [-0.0493443959665907], [0.08901474508257533], [0.043101136191190936]]
9	0.13896921944517726	[-0.9311351481073764, -0.047162496048307884, -0.21382974634742535, -0.549952109546483, 0.6471263591340645, 0.13412259056254927, 0.07355498710315636, 0.7627086336692068, 0.9127287143813682, 0.546978670291988, 0.5032596029632818, 0.9555429751400306, -0.3577604148416534, 0.3242117482443377, -0.7062648968993516, -0.8464556871018077, 0.012358663705443522]	[[0.13896921944517726], [0.990720113227349], [0.11860745598482018], [0.02972615637577514], [-0.05934883536111673], [0.11013827631322894], [0.032958609668424906], [-0.17398329684419087], [-0.4837817785648706], [0.028039054932479344], [-0.0566703049527274], [0.0032255670608747657], [0.11947000448828352], [-0.05732170994503569], [-0.13433813889166368], [0.008612391034806974], [-0.23758544737689216], [0.31014198376933677], [-0.6295817341731635], [-0.029626155651796632], [0.04264227182862931], [0.01713005966945562]]
