timestamp	reward	action	state
0	0.1186395201266281	[-0.1928713522926212, 0.10565386535844856, -0.22050672037916683, -0.0930857192106061, -0.7104017175971427, -0.15453164744160283, -0.3473749419893358, 0.8817414060227978, -0.922229788004862, -0.774460216306283, 0.6873814799138735, -0.14517409593122377, -0.1911402836673312, 0.5442346108086927, 0.3793446337961482, -0.44719739059213826, -0.22369081573962213]	[[0.1186395201266281], [0.9998731832257999], [-0.007097267740429746], [0.01396307980465546], [0.0028772658715874306], [0.007496194028654382], [0.02822478499651542], [-0.009708791303668793], [-0.02754897502867526], [-0.016530249958866972], [-0.11032908855127153], [-0.1397460078388418], [0.08161095567035928], [-0.0003216891672061539], [-0.07437158257158741], [-0.007352084852541731], [-0.02371395580099246], [0.007353734931319331], [0.028618786497347896], [0.018362471947865923], [-0.02081727403887191], [-0.01337424419713571]]
1	0.12601117283670119	[0.20750127961009474, 0.27997479721442886, 0.03357144589575778, 0.8974235881753005, 0.025203615972908065, 0.27370146195615025, -0.41045271360651736, 0.7579513943526217, 0.7011560414067306, -0.27907390554167244, 0.6643464824404799, 0.615717025318581, 0.2722872229799426, -0.44207563568629177, 0.5330113209585453, 0.9540196245459971, 0.6921164932602325]	[[0.12601117283670119], [0.999287435222938], [-0.0045407705486387815], [0.0374683390380135], [0.0003560591521697273], [0.04652067919292274], [0.03035575240145551], [-0.04453937658309416], [0.04467853784155802], [-0.05298213961817057], [-0.24561247010430876], [-0.3849196359884005], [0.1348543705071295], [0.049049315708022304], [-0.14641041492980217], [-0.010191972781373052], [-0.05610138343758875], [0.04383622843540102], [0.033307345952647255], [0.06843577170756013], [-0.0431331421909682], [-0.011280690466081888]]
2	0.12727232445277098	[-0.7985178540843282, 0.6590985128709962, -0.8672059715920117, 0.6902722251262271, -0.22239566821175139, 0.3644011890404082, -0.2981586647044346, 0.5407454181499317, -0.02599818063455444, 0.932464091796499, -0.7862850779287944, 0.2559900074380176, -0.818938170991899, 0.6158860231450038, -0.5550113071925298, 0.1338513527658852, 0.7732716670010208]	[[0.12727232445277098], [0.9979541289419928], [0.00609098188630304], [0.06306787369331326], [-0.008538136511767219], [0.13333226431499104], [-0.09155711645803453], [-0.10876744519629518], [0.12237392050735273], [-0.12471225336087563], [-0.21725056352295838], [-0.5461621536936373], [0.14183693262497604], [0.10106809390901159], [-0.07391028210469619], [-0.0466096958926841], [-0.13133512687742785], [0.12301772384090529], [0.0019942733781695646], [0.1376611786434216], [-0.05619462538665485], [0.0058297094549520714]]
3	0.12817707622279986	[-0.3538564925553259, 1.0430307505951508, -0.22044213323085723, 0.12013226909426372, -0.9159053870135992, -0.4794573146945681, -0.013467765223866444, 0.310467506764232, -0.8216370265714762, -0.6620191825793412, -0.42821411952245425, -0.7611455275054031, -0.1126748388321376, -0.3437506269663011, -0.792744706888215, -0.6663460448434735, -0.3560376406539632]	[[0.12817707622279986], [0.9967277609329044], [0.025007788070185957], [0.07527902394874651], [-0.015538650998074187], [0.19132517990779868], [-0.13364575033082066], [-0.17117160537064333], [0.1362686950470544], [-0.16516708659385498], [-0.24568652773623476], [-0.6447069039143165], [0.13485073892585145], [0.12130034730897528], [-0.13960590466751616], [-0.3239025908596238], [-0.21994919780692168], [0.16203353468919876], [-0.002719594198171031], [0.164176177868118], [-0.03961393954808093], [0.01466159462851277]]
4	0.1307998114077276	[-0.262190985406175, -0.25574511575611547, -0.49979327528924905, -0.32599819485991566, -0.715660838448345, 0.9710034147638726, -0.3960654356199863, 0.2557290941454431, -0.7166761464479533, -0.7906015283147189, -0.30379230894011156, -0.744479972199826, -0.8695928573841853, 0.1834097643667526, -0.9269822685743951, 0.7574039180666025, 0.9446924198896154]	[[0.1307998114077276], [0.995035509355627], [0.05624924561003829], [0.08029963647702573], [-0.01709753992091291], [0.1894211663429512], [-0.15191580491176138], [-0.21967846063054608], [0.06865489664450133], [-0.14565216763703828], [-0.27395853513489876], [-0.729504496257356], [0.12556366417544598], [0.0780062809550868], [-0.2685018981080425], [-0.7334682647651648], [-0.3287491646965642], [0.1678402949405578], [0.005946671367227833], [0.12824262668345277], [-0.00705313265116338], [0.014566674429217755]]
5	0.12671242103755412	[0.833695045257407, -0.27944046458760335, -0.3368713645295456, 0.2716573074395113, -0.713191239288729, 0.46781476374422853, -0.48173438652953215, -0.06075897528922771, -0.17415065325499618, 0.8005707067300105, 0.6913058118050381, -0.1975390543239462, -0.680697336667107, -0.9583495606383088, 0.16479653389481905, -0.21104686778043985, -0.9643388157076019]	[[0.12671242103755412], [0.9927632423543151], [0.08885820268452121], [0.07996861930886423], [-0.011418597622215592], [0.2274879470630865], [-0.25009693325950066], [-0.3262127062242731], [0.05615006437579835], [-0.16086115099721712], [-0.16836947525200102], [-0.8343414671597491], [0.11704771148752803], [0.05324333263413453], [-0.2111083476555131], [-0.9114225701959231], [-0.4528898705651764], [0.1670491633250398], [-0.009058321447040843], [0.11911075979513444], [0.007415317858203195], [-0.024430546111817726]]
6	0.1167321774051238	[0.39387654275196515, -0.959866017490386, -0.2916643598806553, 0.47153215774643353, 0.00581628546907037, 0.3600121203605831, -0.6337791325587144, -0.7570082814314035, -0.7934744351723233, -0.05181788898900335, -0.8029565212094697, -0.1859536256965435, -0.7961351823156477, -0.8287774421008416, -0.8633170508586299, 0.1563726764989278, -0.40832149932301764]	[[0.1167321774051238], [0.9921487937968582], [0.11001734017055416], [0.058402576859295216], [0.011229196116839603], [0.21672235530113307], [-0.30123661038654437], [-0.455265605808433], [0.11403057229755882], [-0.16162886589832087], [-0.04957236480239648], [-0.89264209336419], [0.053329173767262136], [0.0219509598229608], [-0.15548000355007047], [-1.0024987649325476], [-0.5471662897298938], [0.09628569053416686], [-0.03233325019161603], [0.10639084823272722], [-0.010917627108698928], [-0.10956316220204798]]
7	0.10407541400234054	[0.7998278591610237, 0.38386759690621763, -0.6118381029720015, 0.756376211150412, 0.0418608224617488, 0.23498264545922246, 0.29883624860668995, -0.5159961701359653, 0.4561433067241581, -0.13202573242543414, -0.24143482347980064, -0.8296909755773847, -0.8557623186235868, -0.8942983511907385, -0.2114856837541716, 0.8338329917837842, -0.6226995584110778]	[[0.10407541400234054], [0.9906682508835761], [0.1303561635987362], [0.022258445684848818], [0.03298861771566017], [0.20239885128615004], [-0.2848967581490312], [-0.5998704635733683], [0.13311514938962007], [-0.1434441383106953], [0.0629806352239789], [-0.8946969880774123], [-0.06449755000559863], [0.0075199580626441305], [-0.16731428012859145], [-1.149339418903434], [-0.6305419324733376], [0.01473743565836546], [-0.08571417988461208], [0.0639363859879976], [-0.006023985749868006], [-0.20030873353135117]]
8	0.09298285402536854	[-0.7776670012125796, -0.1421715763585264, 0.44095315087260367, -0.4353511918317992, 0.9680965999393476, 0.13243151638388434, -0.9377078877811602, 0.1003641058251875, -0.17026991952443418, -0.25763246511054816, 0.06717243815475182, 0.15449467591873528, -0.4124725730266602, 0.14444553043942213, -0.2126176403716464, 0.1693393418961889, -0.2944440288328191]	[[0.09298285402536854], [0.9911609395500242], [0.12554649519020775], [-0.013896742202404682], [0.04055798333162582], [0.17376679924032612], [-0.25639137040898136], [-0.6203661619078793], [0.04020059793183113], [-0.07077616764446308], [0.12330291641811109], [-0.9174730396625829], [-0.09971864117132154], [-0.02046535800801886], [-0.209305829487187], [-1.3023549498161], [-0.6606052850593427], [-0.046523144749513516], [-0.16135987591993017], [0.06581239418112984], [0.02574878776617977], [-0.26699555275563847]]
9	0.09297123695726829	[0.8527274323202991, -0.8529351012266677, 0.42414648293987606, -0.0029154842536776777, -0.5049627761004797, -0.0475718246494848, -0.14644639657107503, -0.6854615344556442, -1.0659281677100212, -0.8103811471015889, 0.0440577641124063, -0.14071803543659236, 0.848670244146315, 0.6237417623400092, 0.2935954681704136, 0.2927425182952347, -0.09757799094045279]	[[0.09297123695726829], [0.9938690217625474], [0.09822824471550508], [-0.027564143783823495], [0.042612175470547735], [0.10602978636474493], [-0.21408800170645217], [-0.5754272714038284], [0.0008180604921447586], [-0.028179170066070687], [0.0474668870374756], [-1.031614366816699], [-0.1336659833776207], [-0.05203171351985998], [-0.3523650586608955], [-1.4443912439751523], [-0.6332020881920569], [-0.12405397704095618], [-0.19927152855322192], [0.10364200084002732], [0.0541007019830313], [-0.30657492626411437]]
